# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
巽	㔵㢲㦏㯢㷷䍻䠣僎噀巺巽撰潠簨繏蟤襈譔選鐉顨饌馔𡮭𡮸𢮪𦠆𦺈𧾌𩪞
巾	㧆䘜巾𢎭
巿	㤄㧊㸬㺻䍨䑔䟛䢌䣪䰽伂巿旆昁杮沛(霈𢭿)犻肺芾馷
帀	㺰䞙䴓帀沞迊銟韴魳鳾𠯗
匝	㧜匝咂砸鉔𠇽𣐝𦚗𦭧
市	姉市柿鈰铈
布	㘵㚴㳍佈咘布怖抪柨鈽钸鿻𢃊𣔩𤤰𥿠𨀒
帇	帇
希	㛓㟓㠻㹷㾙䖷䛥䤭䮎俙唏希悕晞桸欷浠烯狶琋瓻睎稀(𤏤𤏨)絺脪莃豨郗鯑鵗𣱬𩊽𫄨
帚	㫶㴆埽帚掃箒(𣞂)菷鯞
帝	㛳䫕䱱偙啼媂崹帝揥楴渧碲禘締缔腣蒂(𤀐)褅諦谛蹄遆鍗鶙𢋠𢝃𤧛𥰆
帥	帥
帅	帅
師	師溮獅瑡篩蒒螄鰤鶳𩮭
师	师浉狮筛蛳𫚕
席	席蓆褯𠻊𥱊
帶	㗣㦅㯂㿃䐭䠠僀墆嵽帶廗慸摕殢滯(懘)艜蔕螮蹛遰𠁑𡠹𢄩𢋴𤠹𦄂𧜵𧫚
带	㛿䗖䙊带滞𫶇
帯	帯鿮
[⿳世冖巾]	𣻉𦷾𩺌
干	㔓㢨㶥㸩㿻䍐䧲䵟仠刊(𠰙)厈奸姧(䓸)屽干忓扞攼旰(涆)杆汗犴玕皯盰矸秆竿罕(浫)肝(𨧠)芉虷衎衦訐讦豻赶軒(䆭搟蓒𠻃𢟑𤹖)轩迀邗酐釬閈闬靬頇顸飦馯骭鳱鼾𤴲𦏹𨸗𩂀
岸	㟁䮗堓婩岸硸錌𠵚𡶨
平	㛁㼞䍈䍬䶄伻匉呯坪(𦱾)平怦抨枰泙(萍)玶砰秤胓苹蚲評评軯閛駍鮃鲆𤇊𨥾
年	哖姩年脌鵇𡋂𢆘𢆡𢆭𢧚𢬧𣑻𦀅𦮴𨦧
秊	䄭䄵秊
开	㰢㿼䀘䄯䍾䙹䵤妍岍开枅汧研(䊙揅)笄(䗗)茾蚈訮豜趼邢鈃開(𥳐)雃鳽
幵	䶬咞姸幵栞詽豣麉𢏗
羿	羿
并	㔙㤣㻂(䔊)䈂䑫䦕䴵併垪姘帡并庰恲拼栟洴(蓱)瓶皏硑絣缾聠胼艵荓蛢誁賆跰軿迸郱鉼頩餅饼駢(𧟁)骈骿鮩鵧𥩵
屏	偋塀屏幈摒竮箳𠝭𣖕𣸹𤭸
幷	倂帲幷甁腁輧逬餠騈𧚭
屛	屛簈
幸	㓑㼬䁄䂔䛭倖啈婞幸悻涬緈𢔛
幺	䯚吆幺
幻	䒛幻𠯻
幼	㑃㓜㶭䬀䱂呦坳孧岰幼怮拗柪泑狕眑窈聈苭蚴袎詏軪靿鴢黝𥁒
幽	㗀䫜幽𢉾
幾	㙨㡬㼄䟇䤒僟嘰幾機璣畿磯禨穖耭蟣譏鐖鞿饑魕𧝞
广	㚧㢂广
庚	㗮㹹庚掶椩焿菮賡赓鶊鹒𢉼𥓷
度	䩲剫喥度渡艔踱鍍镀𨍏
庶	㫂㵂䉀䗪䩾䭖嗻墌嫬庶庻摭樜熫蔗蟅謶蹠遮鏣鷓鹧
这	这
康	㝩㱂䆲䗧嫝嵻康慷槺漮穅糠躿鏮鱇𡐓𩾌
庸	㟾㣑㺎䗤䧡傭嘃墉嫞庸慵槦滽牅牗鄘鏞镛鱅鳙鷛𦟛
廉	䆂䭠劆嬚廉濂燫簾(𢆁)臁薕蠊譧鐮镰𠿳𣜰𤻑𥋲𦧷𧞋
亷	䥥亷濓𡫐
㢘	㢘
帘	帘
廌	廌
廛	㙻廛瀍纏躔鄽𡃚𢷹𤒲𥌬𧁶𨮻
㕓	㕓壥纒𨇠
厘	䣑厘糎緾
㢆	㢆缠
廣	㼅䊯儣兤嚝壙廣彍懬懭擴曠櫎瀇爌獷癀矌礦穬纊鄺鑛𠢹𤒼𤳱𩑈𩧉𪇵𪍿
[广]	㲿圹广扩旷犷矿纩邝
広	広拡昿砿鉱
延	㝚㢟䀽䗺䘰䩥唌埏娫延挻梴涎烻狿硟筵綖脠莚蜑(𦿸)蜒誕诞郔鋋駳鯅𤥻𦧝𨒂𩃀𫄧
蛋	蛋
廷	㹶䅍䩠䯕䱓侹娗庭(榳)廷挺梃涏烶珽筳(䗴)綎脡艇莛蜓誔鋌铤閮霆頲颋鼮𪊶𬘩
建	㯬䊕䭈健建揵旔楗毽湕煡犍睷腱踺鍵键鞬騝鰎𤧣
廾	㫒廾
廿	卄廿
弁	㭓㳎㺹䒪䣲䪻䮁匥峅弁拚昪桳笲貵軬(䉊撪)閞鴘𨚕
畚	㨧㮥畚輽
覍	㝸覍
弃	弃
棄	棄𠾍
弄	㑝㛞㟖㢅㳥㺯哢弄挵梇硦𠑋𠸙𡫶𢌊𢌌𢚸𣼰𤯨𤯩𤲌𤿰𥧪𥨋𦡠𧋼𧚠𨁦𨓡𩀳𩩖𪔠
弇	啽媕弇揜渰葊鞥黭
弋	㚤䄩䘝䣧䬥䴬弋杙浳甙芅貣釴隿骮黓𠯅𢖺𢩮𤴵𦏵𧿑𬬩
忒	忒脦鋱铽
聀	聀𠺵𢟘𢲦𤹚
式	侙式弑弒恜拭(𢁊)栻烒試(𤀏)试軾轼鉽𠲧𤞔𥅞
弓	䩑宆弓杛芎𡉖𢏢𢏣𥫤
弔	䘟伄弔盄鈟𠰀𢟛
吊	吊屌銱铞𠜏𠲢𢬢𦛉𨀽
引	㽼䀕䇙䏖䒡吲引弞矤矧粌紖纼蚓訠鈏靷𣏖
弗	㔗㚕㪄䀟䄶䛍䞞佛(𡌅)刜咈坲岪弗彿怫拂昲柫氟沸炥狒疿砩笰紼绋胇艴茀鉘风髴鮄𡶒𩂕
費	㩌㵒䊧曊費鄪鐨靅
费	费镄
弘	䡏䨎宖弘泓(霐)紭苰鞃𢫠
弟	㖒㣢䏲䑯䬾䶏俤剃娣弚弟悌挮梯涕焍珶睇祶稊(蕛)第綈绨罤苐豑递銻锑鬀鮷鵜鹈𡌡𢚖𧋘
[⿱屮又]	㞵㫞弢詜
弦	㡉娹婱弦惤誸𦱁
弭	㥝弭渳葞麛
弱	䐞䚥嫋弱愵搦榒溺(𡀡𡣄𦡥)篛糑蒻鰯鶸
[強]	䥒勥嵹摾漒犟糨膙蔃襁謽鏹𡠤𣚦
强	䃨强繦镪
強	強繈
弜	弜
弼	㢶㢸弻弼
彑	彑
彐	彐
[彔]	㖨㪖㫽㯟䎑䎼䐂䘵䚄䟿䩮䱚娽椂氯琭盝睩碌箓粶菉觮趢逯醁騄鵦龣𢮑𩓪
彔	彔淥綠(𡂎)𤊒
录	㟤录渌緑绿𫘧
[剝]	䃗
剝	剝
剥	剥
[祿]	䴪簶𤳨
祿	祿𤀓𤐠
禄	禄
[錄]	籙
錄	錄
録	録
彖	㑰㥟㻹䂕䛹䞼䤸䧘(墬)䱲剶喙堟彖掾椽湪猭瑑盠禒篆(𢸢𥌫)緣(櫞)缘(橼)腞蒃蝝褖餯鶨
蠡	㒩㼖䗍䤙劙攭欚蠡𦧽
彗	㨹㻰䵻嘒彗暳槥熭篲蔧轊鏏𦒄𬭬
慧	㩨㬩䎚䡺嚖慧懳櫘譿𥶙𨯚
雪	樰膤雪鱈鳕𠽌
䨮	䨮
彘	彘璏
[彝]	㰘
彝	彜彝
彞	彛彞
彡	㣌䀐䑣䚲彡杉(涁)肜衫(𥓸)釤钐𪓫
彤	彤浵烿蚒
[彦]	偐喭嵃楌諺遃齴𩜽㘖
彦	彦谚顔(𤄰)颜𠦳𢞆𢢋𢱘𢵲𦞎𨩱
彥	彥顏
彪	彪滮𤹼𧜺
䬌	䬌
淲	淲
颩	颩
彬	彬虨霦
彭	㱶嘭彭憉澎甏膨蟚蟛𢵓𨭌
彳	彳
伇	伇坄役(䓈垼)炈疫豛鈠
後	後
徙	㿅嘥屣徙漇簁縰蓰褷蹝𢳜
從	㗰㙡㜡㞞㢔㹐㼻䐫䗥䙕䡮䢨䰌䳷傱嵷嵸徔從慫摐暰樅漎熧瑽瘲瞛磫篵緃縱聳(𡄭)蓯豵蹤鏦
従	従縦𫞋
御	䥏御禦(籞蘌)篽蓹
䘖	㗸䘖䘘
微	㜫㣲㵟䉠䥩嶶幑微徽徾癓矀薇覹霺鰴黴鿦
[⿰⿳山一几攵]	媺溦
徵	徴徵懲瀓癥藢𤑈
[⿰⿳山一王攵]	澂
[⿰育攵]	㬚㯙䒆徹(勶)撤澈瞮轍辙𠾀
心	㤈伈吢吣孞心抋杺沁芯訫鈊𡉾𢙭𣅵𤆸𥹀𥿂𦙦𨠉𩂈𩵽
必	㘠㧙㳴䀣䏟䖩䛑䟤䩛䪐䫾佖咇妼必怭柲毖泌珌祕秘(𦷬)苾虙袐覕邲鉍铋閟飶馝駜鮅鴓𢞵𤇩
志	䄊䏯䓌娡志梽痣綕覟誌鋕鿵𢙺𧋺
忝	㖭㮇䋬婖忝悿掭沗添舔菾𡍞𩡋
念	㑫(𤹑)䂼䧔䭃唸埝念惗捻敜棯淰焾稔(𡀝𣿇)腍艌菍諗谂趝踗錜騐(𤼔)鯰鲶𦁤𧛋
忽	㧾㺀䓤䨚䬍唿忽惚淴鍃锪
思	㴓䚡䞏䰄偲媤崽(㩄)思愢揌楒毸禗緦缌罳腮(𥵖)葸諰鍶锶顋颸飔騦鰓鳃𥯨𦖻
恖	恖顖
恩	䅰嗯恩摁煾蒽𡟯𤨒𤹕
息	㮩㴧䭒媳息熄瘜蒠螅鄎鎴
悉	㗭㣰㴽䊝僁怸悉窸蟋鏭𠞹𢴑𤎕𦄵𨄠
悤	䡯䧭傯幒悤憁摠(䉥)樬漗熜牕璁窻總(𤄋)聰蔥蟌謥鏓驄骢𦪐
怱	㷓䆫䈡䗓偬怱愡揔楤牎緫聦葱(憽檧濍燪繱)鍯騘𡟟𤧚
忩	㥖䐋䓗䙂倊忩捴棇焧窓総聡
总	总搃縂聪
惠	䧥僡寭惠憓橞潓璤穗繐蕙蟪譓鏸韢𬤝
恵	恵穂𨫍
㤫	㤫
惢	惢橤繠蕊(蘂)
意	䖁䗷䪰億噫嬑悥意憶檍澺燱癔繶臆(𡄯)薏譩醷鐿镱鷾𢶶𫄷
愛	僾噯嬡愛懓曖燰璦皧瞹薆鑀靉鱫
爱	叆嗳嫒暧爱瑷
感	㙳䃭䉞(𥍒)䜗䫲感憾(𡄏𥩇)撼澸轗鱤鳡𥽇
慮	儢勴慮攄櫖濾爈藘鑢𡃖
虑	摅滤虑
慶	慶櫦羻
庆	庆
憂	㱊䜡䥳優嚘憂懮櫌瀀獶瓇纋耰鄾
憲	㦥䘆䜢䧮幰憲攇櫶瀗藼𥌷
戈	㳀䄀䣬划戈戓戤牫鈛鳶鸢𠯫𣏾𦨜𩚧𩾷𩿙
找	找
戉	㞽㧔䋐䎀䟠䬂怴戉泧狘眓鉞钺魆𡛟𧊎𩿠
越	樾越𢵼𣾼𦅲𧑅𨅿𨬓𪆧
戊	戊茂(𢰝)𣳡𤇦𩂟
戌	㖅䎉䢕䬄戌珬銊𢬮𤇳𧧐
戍	㲓㳚戍荗
戎	㣝㭜䄾䘬䯷娀戎毧狨絨绒羢茙駥𠈋𠲦𡊸𢫨𣴛𧊕𧻪𨀻𪀚
成	㼩䫆城娍宬峸成晟晠珹盛(墭𣛮)窚筬絾荿誠诚郕鋮铖鯎𡷫𥓉
我	㧴䄉䖸䞲䳗䳘俄哦娥(𠹷)峨峩我涐珴皒睋硪莪蛾誐鋨锇餓饿騀鵝鵞鹅𤘋𧚄
戒	㑘㖑㳦悈戒械祴裓誡诫駴𢬿𤈪𤞫
戔	㟞㣤㥇㹽䎒䏼䗃䙁䧖䴼俴剗帴戔棧(嶘𥖔)殘(䉔)淺(䔐𠽈)牋琖盞碊箋綫菚虥虦諓賤(㰄濺)踐輚醆錢(籛)餞馢
戋	刬戋栈残浅盏笺线贱(溅)践钱(篯)饯𥒎𬣡
㦮	㦮䇳䬻桟賎銭
或	㖪㚜㰲㳼㽣䂸䈅䤋䧕䬎䮙䰥䱛域(𪅫)惐惑或掝棫淢(㵄)琙稢窢緎罭聝蜮閾阈馘魊𠒬𤊨𤦂𤷇𨨅
彧	彧稶𢒰
戚	㗤㞝䗩䙘䠞傶嘁墄慼慽戚摵槭磩縬蹙(㰗䙯)鏚顣
戛	嘎戛𢟟𣼸
戞	嘠戞
戜	䟈戜鐵驖
戟	㦸戟撠橶𠽤𡚄
戠	嬂幟戠樴熾(𢹊)織職(蘵𤼕)膱蟙識(𧄹)軄𢡠
截	㵶䕙䘁䟌䥫䰏䶪嶻截擮蠘𡁶
[⿰雀戈]	㘍巀蠽
戴	戴瀻襶
戶	㣗㦿(淭)䋀䋆妒帍戶户戸戽护昈沪粐舮芦鳸𢩜𣱆𩿇
扈	㨭扈槴滬熩簄蔰
雇	僱雇顧𤺮
所	㫹乺所齭𢀦𢯢𣷲
顾	顾
戾	㑦㪐㴃䈆䓞唳悷戾捩棙淚睙綟蜧錑𩸭
戻	戻涙
泪	泪
扁	㓲㞈㲢㴜㻞㼐㾫䐔䡢䭏偏匾媥徧惼扁揙斒楄煸牑犏猵甂碥稨(藊)篇糄編编翩艑萹蝙褊諞谝蹁遍鍽騗騙骗鯿鳊鶣𡎚
癟	癟
瘪	瘪
扇	䡪䥇䦂傓扇搧煽謆騸骟𠞛𥔱𨃩
手	手杽
才	䊷䌶䞗䴭才材犲豺財财釮鼒𦨑𩵝
折	㑜㝂㪿㿱䀸䀿䇽䋢䏳䓆䟷䩢䭁䱑哲(𠹗𡏥𣻂𥉭𦄃𧎴𩺢)哳埑娎悊折晢晣梊歽浙焎狾硩蜇裚誓(𡂉)踅逝(𩻔)銴𣩁𣩂𤄌𧋍
抛	抛拋𠴋𤽵
拜	㗑拜湃𢱎
[⿱巛夕]	㭮㳨拶
掃	埽掃
扫	扫
支	㞿㩼㩽㲍㽻䃽䚳䞚䡋䣫䧴䰙伎吱妓(𣇠)屐(𢲈)岐庋忮技(庪𠴜𢴛)支攰攱枝(㟚)歧汥秓翄翅肢芰(䝸)蚑衼豉(𠽑)跂鈘頍馶鬾鳷𢺹𢺺𥑂𥽤𦷨𨙸𩂏𩵾𫠆
攸	㛜㫍㫦䀺䖺䩦䱔倏倐峳悠(滺)攸浟焂筱絛翛莜跾鋚鞗鯈𠳘
條	條樤滌窱篠縧蓧螩鎥鰷𠺧
脩	䐰䗛樇滫脩蓨鏅𪅭
修	㹋修蓚鎀𡪇𥱤
儵	㶖䨹儵虪
条	条涤筿绦鲦𡸇
敄	㡔㮘䋷䓮䜼䨁䱯堥婺嵍愗敄暓楘瞀(霿)蝥鍪霚鞪騖骛鶩鹜
務	㜈䥐䳱務奦熃蓩霧𥊦
务	务雾
敏	䲄慜(𧁋)敏瀪繁鰵鳘𠍁𠽊𢄯𢠨𥼖𪄴𪉾
敕	䔩勅慗敕潄瘷遫鷘𣙙
敖	㜜㟼㠂㥿㾲䦋䫨䮯䵅傲嗷嗸嫯嶅廒慠摮敖滶熬獒獓璈磝聱蔜螯謷謸遨鏊隞驁骜鰲鳌鷔鼇𢳆𣊁𦪈𧑃𨎞𨫼
敝	䌘䠥䥕䨆嫳幣弊(𡃇)彆徶憋撆撇敝斃暼潎獘獙瞥蔽蟞襒蹩鄨鐅鱉鳖鷩鼈(虌)龞𠟈𬭯
币	币
敞	僘厰廠敞氅𢠵𤺲
敢	㒈㜟㦑㺖䧩䭛噉憨撖敢橄澉瞰譀豃闞(㘚矙)阚(㘎)饏鬫𡑒𥼲𨅺
㪔	㪔
散	㪚䃟䉈䨷撒散橵潵潸糤繖鏾霰饊馓
敦	㪟㬿䃦䔻䪃噋墩墪憝憞撉撴敦暾橔潡燉犜獤礅譈蹾鐓鐜镦驐鷻𧑒
[享]	䇏啍埻弴惇淳焞犉稕諄谆醇錞鶉鹑
敫	㦘㰾䁶䚫䥞儌噭墽嬓徼憿撽敫曒檄激燩獥璬皦礉竅(𨇶)繳缴薂覈譤譥躈邀鸄𣎣
敬	㢣㯳䜘儆憼擎(𨰈)擏敬曔檠璥蟼警驚
文	㞶䘇䰚伩呅坟(𢭷)妏彣(珳)忞忟抆文旻(㥗渂琝)旼汶炆玟玫盿砇紊紋纹芠蚉蚊螡雯馼魰鳼鴍鼤𡲈𣐀𤝋𩖰𪊓𫌴𫘜
斗	㖍㘰㞳㪲㪳㪷㳆㺶䀞䚵䢏乧抖(唞)斗斢枓紏蚪鈄钭閗阧鬦﨣𢗸𤓺𧿫𩿚
料	䉼料炓窲𠺫
斛	㩂䈸嘝斛槲蔛𡐗
斝	䑝斚斝
斤	㸫㹞(䓄)䖐䜣䤱伒劤听(𥺐)圻妡岓庍忻斤斦斫斬斳旂昕沂(䇵䓅垽峾)炘盺祈紤肵芹(𣔠)蕲蘄(玂鄿)蚚訢赾近(菦𠶌𣷯)邤釿(䤺)靳(龩)頎颀馸齗龂𥬊𧵆(𠼹𦹱)𬬱
欣	俽惞掀欣焮鍁锨𣔙
斥	㿭䞣䟟坼拆斥柝蚸跅
斬	㜞㟻㨻䁪䟅䭕䱿䳻塹嶃嶄慙慚摲斬暫(𡗎𧔜)槧獑磛蔪螹覱蹔鏨鏩𥕌𦗚𦗝
斩	堑崭惭斩暂椠渐錾
漸	䤔壍嬱漸聻魙
斯	㒋㯕㽄䔮䡳䲉凘厮嘶廝撕斯澌燍簛蟖蟴鐁𡡒𩅰
新	㜪噺新澵薪
斲	斲斵鬭(𡆞)
斷	㫁䜝䠪斷籪𩪽
断	断簖
方	㕫㝑㤃㧍䄱䢍䲱仿坊妨彷房(椖𠉱)放(倣𤊦)方昉昘枋(堏)汸(𩃎)牥瓬眆祊紡(鶭)纺肪舫芳(淓錺)蚄訪访趽邡鈁钫閍防(埅)雱髣魴鲂鴋𢁸
於	㫇㫈乻唹扵於旕棜淤瘀箊菸閼(𤂷)阏𣄒
施	㒾㻢䗐崺揓施暆椸湤箷葹鍦𠷇𦂛𧩹
斿	䑻斿游(𣛦)蝣遊
旁	㥬㿶䄘䅭䒍䠙䧛䨦䩷傍嗙塝嫎嵭徬搒旁榜滂(霶)牓磅篣縍耪膀艕蒡螃覫謗谤鎊镑騯髈鰟𤧭𤹔
㫄	㫄㮄
旅	㭚䮉旅玈祣膂
旋	㯀㳬䁢䃠䗠䲂嫙旋暶漩琁璇縼蔙蜁鏇镟颴
族	㵀䃚嗾族瘯簇蔟鏃镞鷟(𡆈)𩺯(𡆍)𬸦
无	䥻呒妩庑怃抚无芜𣲘
旡	旡炁黖
[既]	㮣䀈䇒䊠䐴嘅慨(𡁙)摡槩[暨](櫭)穊蔇鱀𡠣𤡚𦔙𧑂𩯂𩺺𪖺
既	塈既暨概溉𬶨
旣	墍旣曁槪漑
日	㒲䒤䖑䵒抇日汨衵鈤馹驲𡥌𧿭𨑨
旦	㡺㫜䋎䖧䜥䞡䦔䱇䵣但(𠜬𢭱𨧝)呾坦(𢯟)妲(𧶬)怛(𠝗𠶒𦝇)担(𠵆𦏄)旦柦泹炟狚疍疸笪(𢴈)胆袒觛詚鉭钽靼鴠𠛣𠡎𠿲𣌛𥅃𥑲𦤾𧩙𨀏𩑰
旨	㚛㞓㞛㸟䭫䭬恉指旨栺脂(㴯)詣诣酯鮨鴲𦮂
稽	㮷嵇稽𠺳𡃊𡓈𥗎𦪼
早	早皁皂
草	愺草騲
旬	㝁(惸(𥖒)賯𠊫)㡄㧦㫬㰬㶷䀏䖲䘩侚咰姰峋徇恂旬栒殉毥洵珣眴筍(㒐橁)絢绚荀(㨚䜦槆)詢询迿郇銁銞駨
旱	㪋䏷䓍䛞䳚哻垾娨悍捍旱晘桿焊(蔊)猂皔睅稈筸貋趕銲駻
昆	䃂䅙䊐䐊䚠䛰䵪倱堒婫尡崐崑(潉熴)惃掍昆晜棍混(𠽞)焜猑琨窤箟緄绲菎蜫裩輥辊醌錕锟餛馄騉鯤鲲鵾鹍𠝕𡥵𣙹𪂳
昌	䅛䗉䞎䮖倡唱娼昌晿椙淐焻猖琩菖裮誯錩锠閶阊鯧鲳𩩪𩩫𪂇
明	䳟奣明盟(擝)萌(橗𢅆)𢜏𢜠𣷠𥯋𦁠
囧	㴄囧朙莔
昏	㖧䎽䫒婚崏惛捪昏棔殙涽焝痻睧碈緍錉閽阍𧍎
昬	㗃㛰㟭㨉㬆㱪䁕䃉惽昬暋湣瑉緡缗鍲𩔉
易	㑥䯜剔埸惕敡易晹痬睗緆舓蜴裼賜(儩)赐踢逷錫锡鬄
昔	㛭㝜㟙㳻䄍䇎䜺䧿䱜借(𠺦)剒厝(䥄)唶庴惜措(簎)斮昔棤焟猎瘄皵矠碏稓耤(䎰䣢籍藉(躤))腊蜡諎趞踖逪醋錯(𡓠)错鵲鹊齰𣈏𧛊
㫺	㫺䥘𢵄
眘	傄昚眘
昜	㼒䁑䑗䵮偒啺場婸崵愓揚敭昜暘(霷)暢楊(鸉)氱湯(燙璗盪簜蕩(蘯𢥉)鐋)煬瑒畼瘍碭(𦿆)禓糃腸蝪諹踼輰(𡒮)逿鍚陽颺餳鰑𤋁𦳝𧼮
[⿱𠂉昜]	傷塲慯摥殤(薚)觴
[⿹𠄎⿰丿丿]	场扬旸杨汤(烫荡铴𬍡)炀玚畅疡砀肠钖饧
[⿱𠂉⿹𠄎⿰丿丿]	殇觞
伤	伤
阳	㳱阳
星	䃏䗌惺(㝭)戥星暒曐湦煋猩瑆睲篂腥謃醒鍟鯹𦎬𦖤
春	㖺㿤䐏䞐䦮䮞䲠偆堾媋惷春暙椿(𢢫)湷瑃睶箺萶蝽蠢(𡆂𤅧𧕷𨙥)賰踳鬊鰆𢰦𨩃𪂹
是	㓳㔭㖷㮛㼵䅠䈕䊓䐎䚣䜻偍匙(𣼮)堤媞寔(㵓)崼徥惿提(䔶䶶𠤧𠽮𣾸)是湜煶瑅睼碮禔緹缇翨蝭褆諟趧踶遈醍鍉隄鞮題(禵𤄭)题騠鯷鳀鶗𫘨𬤊
昰	昰𧡰
昱	䗑喅昱煜
昶	㫤昶
[𥁕]	㬈㼔䯠嗢塭殟瑥瘟蝹褞豱鎾鞰韞饂馧𥠺𩥈
昷	媪愠揾昷榅氲温(蕰𡀦)煴緼(藴)缊(蕴)腽蒀輼辒醖韫鰛鳁
𥁕	媼慍搵榲氳溫(薀)熅縕(蘊(𢺝))膃蒕轀醞鰮𥁕
時	塒嵵時榯溡蒔鰣𠺮𥱯𨫉
时	埘时莳鲥
晃	㨪䁜幌愰晃晄榥滉熀縨鎤
晉	㬜戩搢晉榗溍瑨縉鄑
晋	㬐戬晋缙
晏	䁙䨃晏暥騴鷃鼹𠹵
晝	晝
昼	昼
普	䲕普氆潽譜谱鐠镨𠽾𦡮
晶	晶橸𣇵
暑	暑濐鱪龧
暴	㩧㫧㬥㬧㿺䂍䤖儤嚗懪暴曓曝瀑爆犦襮謈鑤鸔𦢊𧔙𩙕
暹	暹
曄	墷曄曅(爗)燁皣瞱
晔	晔烨
曇	壜曇罎𦉡
昙	昙
曰	䫻抇曰欥汩蚎𤵖𥿀
曲	㖆㤟㻃䒼䢗曲浀筁粬蛐髷麯𨦈
曳	㖂㡼㹭䄿䇩䎈䒶䛖拽曳曵栧洩絏跩齥𠻇𤲼𤵺𥹞𧻭𧽇𧽈𨱽
更	㹴㾘䢚哽埂峺挭更梗(𠼰)浭硬稉筻粳綆绠莄郠鞕骾鯁鲠𣆳𦑃𧣲𨁈
㪅	㪅䌄
曷	㓭㔠㡫㷎㹇㿣䅥(藒)䈓䋵䦪䨠䫘偈喝堨嵑幆愒揭(䔾䥟)暍曷朅楬歇(蠍𠿒𤢔𪗀)毼渴(㵣䔽)猲碣竭羯蝎褐(䕣)謁(藹靄)谒(蔼霭)輵遏(𣜶𣿌)鍻鞨餲馤騔鶡鹖齃𣍊𤸎𥃞𦤦𩩲
葛	㵧䗶噶嶱擖獦礍臈葛轕𡑪
書	圕書
书	书
㯥	㯥
曹	㜖㡟㷮䄚䏆䐬䜊傮嘈嶆慒曹曺槽漕糟艚蓸螬褿蹧遭(㯾)醩鏪鰽𢲵𥕢
曼	㻴㿸䅼䊡䜱䝢䟂䡬僈墁嫚幔慢摱曼槾漫(䕕)熳獌縵缦蔓蟃謾谩鄤鏝镘饅馒鬘鰻鳗𠢝𠼦𢩤𥲑𩅍𪉽
㬅	㡢㬅澷
曾	㣒㬝㽪䁬䆵䉕䎖䒏䙢䰝僧噌増增層(𥶰)嶒憎曽曾橧潧熷璔甑矰磳竲繒缯罾譄贈(囎)赠蹭鄫鏳驓鬙𤺧
层	层
替	㬱僣暜替鐟
最	㵊䴝嘬撮最樶熶穝繓蕞襊𢢇𣋁𥊴
朁	㔆㣅㦧㻸㿊䁮䃡䅾䍼䐶䣟䣠䤐䫬䭙僭(𠠭𧹿)噆嶜憯撍朁橬潛潜(𢸝)熸簪(𡅎𢹽𣠱𨇸)簮糣蠶譖(𥸄)谮鐕𩻛
昝	偺喒揝昝糌
㳫	㳫
會	䢈䭝䯤䵳䶐儈劊噲嬒廥懀旝會檜澮燴獪璯癐瞺禬糩繪膾薈襘譮鄶鬠鱠𠁚𡳳𢶒𣍋𣞄𥖩𥢶𦓊𨆝𩠴
会	㻅会侩刽哙桧(𦷭)浍烩狯絵绘脍荟郐鲙𡋗𡳃𩠠
月	㳉䄴䎳䚴䢁仴刖岄抈月枂玥肷蚏跀迌鈅钥𣌴
外	外夞迯𠰻𡎢𡎥𡎦𢫑𣳢𨀑𩠘
有	㤢䀁䆜䒴䞥䳑䵋侑哊囿姷宥峟戫有栯洧烠珛痏絠蛕詴賄贿迶郁(㮋喐𣹙)酭銪铕鮪鲔𢒰𨚼
朋	㥊㻚䙀䨜倗堋奟弸掤朋棚淜焩痭硼稝綳绷萠輣錋鬅鵬鹏𥦜𧌇𨂃
服	服棴箙菔鵩
𠬝	𠬝
朏	昢朏
朔	㮶嗍塑愬搠朔槊溯蒴遡鎙𥉮𪇐
朕	㮳㴨䲢勝(橳蕂)塍(堘畻)媵幐朕榺滕(漛籐藤)縢(䕨籘)腾膡螣謄(誊𧬸)賸騰(䠮儯虅駦驣)鰧黱𠹻𣞅𨃵𨫇
[关]	栚浂眹
灷	㑞灷
朝	嘲廟朝潮謿𠎫𢀭𢢅𣊿𣋂𣎢𣛨𦺓𨅹𨗛𩻹
庙	庙
朢	朢
木	㕲㭉䊾木朰沐(莯霂)炑狇蚞鈢雬𠚐𠣛𡉿𢪮𥄢𦙣
未	㖝㭑䙿䵢佅味(菋)妹(𠵈)寐怽抺昧未沬眛祙苿跊魅鮇𣒠𥞊
末	㶬䍪䏞䬴䱅䴲唜妺帓怽抹昩末枺沫皌眜砞秣粖茉袜靺韎𠅍𠅒𠖾𠰌𡘮𩈘𩗂
本	㡷㤓㶱䬱呠本泍砵笨絊缽(𠼭)翉苯鉢钵𠄯𡭦𢫆𤵳𦊚(𥻸)𦏓
朮	㺷㾁䘤䟣怵怷朮术沭炢秫(䢤)絉術(𦸇)訹述(蒁鶐𣉐)鉥𠰲𡊍𢫖𤝞𬬸
朱	㦵㧣㸡㼡䇬䎷䏭䣷侏咮姝朱株殊(𢲬𭉝)洙珠(𠺾𢟐)硃祩秼絑茱蛛(𦅱)袾誅诛趎跦邾銖铢陎駯鮢鴸鼄𤊣𤝹𤶎𥅲
朵	㛊䤪剁哚垛挆朵趓跺躲𡇙𣳼𧊶
